source,route_name,uri,controller,action,csv_menu_key,resolved_layer,resolved_menu_key,content_exists,csv_match,module
csv,admin.archive.supplier-ledger,admin/archive/supplier-ledger/{supplierId},ArchiveController,supplierLedger,system.archive-supplierLedger,1,system.archive-supplierLedger,yes,yes,system
csv,admin.audit.index,admin/audit,GlobalAuditController,index,system.audit,1,system.audit,yes,yes,system
csv,admin.audit.show,admin/audit/{id},GlobalAuditController,show,system.audit-show,1,system.audit-show,yes,yes,system
csv,admin.compliance.index,admin/compliance,SystemPolicyController,index,system.compliance,1,system.compliance,yes,yes,system
csv,admin.notifications.rules,admin/notifications/rules,NotificationController,rules,system.notifications,1,system.notifications,yes,yes,system
csv,admin.notifications.inbox,admin/notifications/inbox,NotificationController,inbox,system.notifications-inbox,1,system.notifications-inbox,yes,yes,system
csv,admin.system.partition-health,admin/system/partition-health,PartitionHealthController,index,system.partition-health,1,system.partition-health,yes,yes,system
csv,sse.events,sse/events,SseController,events,system.sse,1,system.sse,yes,yes,system
csv,sse.status,sse/status,SseController,status,system.sse-status,1,system.sse-status,yes,yes,system
csv,admin.system-health.index,admin/system-health,SystemHealthController,index,system.system-health,1,system.system-health,yes,yes,system
csv,admin.users.index,admin/users,UserController,index,system.users,1,system.users,yes,yes,system
csv,admin.users.audit,admin/users/audit,UserController,audit,system.users-audit,1,system.users-audit,yes,yes,system
csv,admin.users.menu-permissions,admin/users/{user}/menu-permissions,UserController,menuPermissions,system.users-menu-permissions,1,system.users-menu-permissions,yes,yes,system
csv,admin.users.print,admin/users/print,UserController,print,system.users-print,1,system.users-print,yes,yes,system
csv,admin.users.security,admin/users/{user}/security,UserController,securityAudit,system.users-security-audit,1,system.users-security-audit,yes,yes,system
resource,admin.products.index,admin/products,ProductController,index,,1,master-data.products,yes,yes,
resource,admin.products.show,admin/products/{id},ProductController,show,,3,master-data.products,yes,yes,
resource,admin.products.create,admin/products/create,ProductController,create,,3,master-data.products,yes,yes,
resource,admin.products.edit,admin/products/{id}/edit,ProductController,edit,,3,master-data.products,yes,yes,
resource,admin.product-categories.index,admin/product-categories,ProductCategoryController,index,,1,master-data.product-categories,yes,yes,
resource,admin.product-categories.create,admin/product-categories/create,ProductCategoryController,create,,3,master-data.product-categories,yes,yes,
resource,admin.product-categories.show,admin/product-categories/{id},ProductCategoryController,show,,3,master-data.product-categories,yes,yes,
resource,admin.product-categories.edit,admin/product-categories/{id}/edit,ProductCategoryController,edit,,3,master-data.product-categories,yes,yes,
resource,admin.product-groups.index,admin/product-groups,ProductGroupController,index,,1,master-data.product-groups,yes,yes,
resource,admin.product-groups.create,admin/product-groups/create,ProductGroupController,create,,3,master-data.product-groups,yes,yes,
resource,admin.product-groups.show,admin/product-groups/{id},ProductGroupController,show,,3,master-data.product-groups,yes,yes,
resource,admin.product-groups.edit,admin/product-groups/{id}/edit,ProductGroupController,edit,,3,master-data.product-groups,yes,yes,
resource,admin.customers.index,admin/customers,CustomerController,index,,1,master-data.customers,yes,yes,
resource,admin.customers.show,admin/customers/{id},CustomerController,show,,3,master-data.customers,yes,yes,
resource,admin.customers.create,admin/customers/create,CustomerController,create,,3,master-data.customers,yes,yes,
resource,admin.customers.edit,admin/customers/{id}/edit,CustomerController,edit,,3,master-data.customers,yes,yes,
resource,admin.suppliers.index,admin/suppliers,SupplierController,index,,1,master-data.suppliers,yes,yes,
resource,admin.suppliers.show,admin/suppliers/{id},SupplierController,show,,3,master-data.suppliers,yes,yes,
resource,admin.suppliers.create,admin/suppliers/create,SupplierController,create,,3,master-data.suppliers,yes,yes,
resource,admin.suppliers.edit,admin/suppliers/{id}/edit,SupplierController,edit,,3,master-data.suppliers,yes,yes,
resource,admin.employees.index,admin/employees,EmployeeController,index,,1,master-data.employees,yes,yes,
